tournaments.RoundRobinTournament
AIs
	RandomAI
	EconomyMilitaryRush(AStarPathFinding)
	HeavyRush(AStarPathFinding)
	LightDefense(AStarPathFinding)
	WorkerRush(AStarPathFinding)
	WorkerRushPlusPlus(AStarPathFinding)
	CRush_V1(AStarPathFinding)
	CRush_V2(AStarPathFinding)
maps
	C:\MicroRTS_ResearchSetup\MicroRTS\maps\10x10\basesWorkers10x10.xml
	C:\MicroRTS_ResearchSetup\MicroRTS\maps\24x24\basesWorkers24x24L.xml
iterations	10
maxGameLength	3000
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	1000	1000
preAnalysis	true
fullObservability	true
timeoutCheck	true
runGC	false
iteration	map	ai1	ai2	time	winner	crashed	timedout
0	0	7	3	255	0	-1	-1
0	0	7	4	1385	0	-1	-1
0	0	7	5	3000	-1	-1	-1
0	0	7	6	3000	-1	-1	-1
0	1	0	1	1045	1	-1	-1
0	1	0	2	1256	1	-1	-1
0	1	0	3	1109	1	-1	-1
0	1	0	4	335	1	-1	-1
0	1	0	5	585	1	-1	-1
0	1	0	6	735	1	-1	-1
0	1	0	7	3000	-1	-1	-1
0	1	1	0	967	0	-1	-1
0	1	1	2	1745	1	-1	-1
0	1	1	3	1225	1	-1	-1
0	1	1	4	420	1	-1	-1
0	1	1	5	420	1	-1	-1
0	1	1	6	916	0	-1	-1
0	1	1	7	2015	1	-1	-1
0	1	2	0	1235	0	-1	-1
0	1	2	1	1533	0	-1	-1
0	1	2	3	851	1	-1	-1
0	1	2	4	355	1	-1	-1
0	1	2	5	355	1	-1	-1
0	1	2	6	685	1	-1	-1
0	1	2	7	1640	1	-1	-1
0	1	3	0	844	0	-1	-1
0	1	3	1	1241	0	-1	-1
0	1	3	2	1009	0	-1	-1
0	1	3	4	355	1	-1	-1
0	1	3	5	355	1	-1	-1
0	1	3	6	1029	0	-1	-1
0	1	3	7	1721	1	-1	-1
0	1	4	0	530	0	-1	-1
0	1	4	1	345	0	-1	-1
0	1	4	2	340	0	-1	-1
0	1	4	3	340	0	-1	-1
0	1	4	5	3000	-1	-1	-1
0	1	4	6	340	0	-1	-1
0	1	4	7	340	0	-1	-1
0	1	5	0	445	0	-1	-1
0	1	5	1	345	0	-1	-1
0	1	5	2	340	0	-1	-1
0	1	5	3	340	0	-1	-1
0	1	5	4	3000	-1	-1	-1
0	1	5	6	340	0	-1	-1
0	1	5	7	340	0	-1	-1
0	1	6	0	770	0	-1	-1
0	1	6	1	1270	1	-1	-1
0	1	6	2	1040	0	-1	-1
0	1	6	3	1238	1	-1	-1
0	1	6	4	365	1	-1	-1
0	1	6	5	365	1	-1	-1
0	1	6	7	870	0	-1	-1
0	1	7	0	645	0	-1	-1
0	1	7	1	3000	-1	-1	-1
0	1	7	2	2265	0	-1	-1
0	1	7	3	979	1	-1	-1
0	1	7	4	365	1	-1	-1
0	1	7	5	365	1	-1	-1
0	1	7	6	1035	1	-1	-1
1	0	0	1	615	1	-1	-1
1	0	0	2	681	1	-1	-1
1	0	0	3	623	1	-1	-1
1	0	0	4	275	1	-1	-1
1	0	0	5	380	1	-1	-1
1	0	0	6	335	1	-1	-1
1	0	0	7	430	1	-1	-1
1	0	1	0	1790	1	-1	-1
1	0	1	2	712	1	-1	-1
1	0	1	3	3000	-1	-1	-1
1	0	1	4	245	1	-1	-1
1	0	1	5	245	1	-1	-1
1	0	1	6	245	1	-1	-1
1	0	1	7	265	1	-1	-1
1	0	2	0	815	0	-1	-1
1	0	2	1	916	0	-1	-1
1	0	2	3	766	1	-1	-1
1	0	2	4	250	1	-1	-1
1	0	2	5	250	1	-1	-1
1	0	2	6	250	1	-1	-1
1	0	2	7	235	1	-1	-1
1	0	3	0	744	0	-1	-1
1	0	3	1	823	0	-1	-1
1	0	3	2	668	0	-1	-1
1	0	3	4	255	1	-1	-1
1	0	3	5	255	1	-1	-1
1	0	3	6	255	1	-1	-1
1	0	3	7	235	1	-1	-1
1	0	4	0	255	0	-1	-1
1	0	4	1	305	0	-1	-1
1	0	4	2	260	0	-1	-1
1	0	4	3	255	0	-1	-1
1	0	4	5	1510	1	-1	-1
1	0	4	6	1420	1	-1	-1
1	0	4	7	1395	1	-1	-1
1	0	5	0	235	0	-1	-1
1	0	5	1	305	0	-1	-1
1	0	5	2	260	0	-1	-1
1	0	5	3	255	0	-1	-1
1	0	5	4	1385	0	-1	-1
1	0	5	6	3000	-1	-1	-1
1	0	5	7	3000	-1	-1	-1
1	0	6	0	315	0	-1	-1
1	0	6	1	305	0	-1	-1
1	0	6	2	260	0	-1	-1
1	0	6	3	255	0	-1	-1
1	0	6	4	1385	0	-1	-1
1	0	6	5	3000	-1	-1	-1
1	0	6	7	3000	-1	-1	-1
1	0	7	0	375	0	-1	-1
1	0	7	1	305	0	-1	-1
1	0	7	2	260	0	-1	-1
1	0	7	3	255	0	-1	-1
1	0	7	4	1385	0	-1	-1
1	0	7	5	3000	-1	-1	-1
1	0	7	6	3000	-1	-1	-1
1	1	0	1	972	1	-1	-1
1	1	0	2	1160	1	-1	-1
1	1	0	3	1137	1	-1	-1
1	1	0	4	475	1	-1	-1
1	1	0	5	465	1	-1	-1
1	1	0	6	675	1	-1	-1
1	1	0	7	3000	-1	-1	-1
1	1	1	0	863	0	-1	-1
1	1	1	2	1615	1	-1	-1
1	1	1	3	1200	1	-1	-1
1	1	1	4	420	1	-1	-1
1	1	1	5	420	1	-1	-1
1	1	1	6	1129	0	-1	-1
1	1	1	7	3000	-1	-1	-1
1	1	2	0	1225	0	-1	-1
1	1	2	1	1564	0	-1	-1
1	1	2	3	851	1	-1	-1
1	1	2	4	355	1	-1	-1
1	1	2	5	355	1	-1	-1
1	1	2	6	685	1	-1	-1
1	1	2	7	1640	1	-1	-1
1	1	3	0	2203	0	-1	-1
1	1	3	1	1260	0	-1	-1
1	1	3	2	1009	0	-1	-1
1	1	3	4	355	1	-1	-1
1	1	3	5	355	1	-1	-1
1	1	3	6	1029	0	-1	-1
1	1	3	7	1721	1	-1	-1
1	1	4	0	525	0	-1	-1
1	1	4	1	345	0	-1	-1
1	1	4	2	340	0	-1	-1
1	1	4	3	340	0	-1	-1
1	1	4	5	3000	-1	-1	-1
1	1	4	6	340	0	-1	-1
1	1	4	7	340	0	-1	-1
1	1	5	0	385	0	-1	-1
1	1	5	1	345	0	-1	-1
1	1	5	2	340	0	-1	-1
1	1	5	3	340	0	-1	-1
1	1	5	4	3000	-1	-1	-1
1	1	5	6	340	0	-1	-1
1	1	5	7	340	0	-1	-1
1	1	6	0	815	0	-1	-1
1	1	6	1	1423	1	-1	-1
1	1	6	2	1040	0	-1	-1
1	1	6	3	1238	1	-1	-1
1	1	6	4	365	1	-1	-1
1	1	6	5	365	1	-1	-1
1	1	6	7	870	0	-1	-1
1	1	7	0	3000	-1	-1	-1
1	1	7	1	3000	-1	-1	-1
1	1	7	2	2265	0	-1	-1
1	1	7	3	979	1	-1	-1
1	1	7	4	365	1	-1	-1
1	1	7	5	365	1	-1	-1
1	1	7	6	1035	1	-1	-1
2	0	0	1	595	1	-1	-1
2	0	0	2	674	1	-1	-1
2	0	0	3	794	1	-1	-1
2	0	0	4	330	1	-1	-1
2	0	0	5	285	1	-1	-1
2	0	0	6	415	1	-1	-1
2	0	0	7	345	1	-1	-1
2	0	1	0	1681	0	-1	-1
2	0	1	2	712	1	-1	-1
2	0	1	3	3000	-1	-1	-1
2	0	1	4	245	1	-1	-1
2	0	1	5	245	1	-1	-1
2	0	1	6	245	1	-1	-1
2	0	1	7	265	1	-1	-1
2	0	2	0	949	0	-1	-1
2	0	2	1	916	0	-1	-1
2	0	2	3	766	1	-1	-1
2	0	2	4	250	1	-1	-1
2	0	2	5	250	1	-1	-1
2	0	2	6	250	1	-1	-1
2	0	2	7	235	1	-1	-1
2	0	3	0	637	0	-1	-1
2	0	3	1	823	0	-1	-1
2	0	3	2	668	0	-1	-1
2	0	3	4	255	1	-1	-1
2	0	3	5	255	1	-1	-1
2	0	3	6	255	1	-1	-1
2	0	3	7	235	1	-1	-1
2	0	4	0	295	0	-1	-1
2	0	4	1	305	0	-1	-1
2	0	4	2	260	0	-1	-1
2	0	4	3	255	0	-1	-1
2	0	4	5	1510	1	-1	-1
2	0	4	6	1420	1	-1	-1
2	0	4	7	1395	1	-1	-1
2	0	5	0	315	0	-1	-1
2	0	5	1	305	0	-1	-1
2	0	5	2	260	0	-1	-1
2	0	5	3	255	0	-1	-1
2	0	5	4	1385	0	-1	-1
2	0	5	6	3000	-1	-1	-1
2	0	5	7	3000	-1	-1	-1
2	0	6	0	345	0	-1	-1
2	0	6	1	305	0	-1	-1
2	0	6	2	260	0	-1	-1
2	0	6	3	255	0	-1	-1
2	0	6	4	1385	0	-1	-1
2	0	6	5	3000	-1	-1	-1
2	0	6	7	3000	-1	-1	-1
2	0	7	0	325	0	-1	-1
2	0	7	1	305	0	-1	-1
2	0	7	2	260	0	-1	-1
2	0	7	3	255	0	-1	-1
2	0	7	4	1385	0	-1	-1
2	0	7	5	3000	-1	-1	-1
2	0	7	6	3000	-1	-1	-1
2	1	0	1	890	1	-1	-1
2	1	0	2	1335	1	-1	-1
2	1	0	3	803	1	-1	-1
2	1	0	4	510	1	-1	-1
2	1	0	5	585	1	-1	-1
2	1	0	6	615	1	-1	-1
2	1	0	7	1935	1	-1	-1
2	1	1	0	956	0	-1	-1
2	1	1	2	1671	1	-1	-1
2	1	1	3	1289	1	-1	-1
2	1	1	4	420	1	-1	-1
2	1	1	5	420	1	-1	-1
2	1	1	6	1170	0	-1	-1
2	1	1	7	2220	1	-1	-1
2	1	2	0	1125	0	-1	-1
2	1	2	1	1753	1	-1	-1
2	1	2	3	851	1	-1	-1
2	1	2	4	355	1	-1	-1
2	1	2	5	355	1	-1	-1
2	1	2	6	685	1	-1	-1
2	1	2	7	1640	1	-1	-1
2	1	3	0	733	0	-1	-1
2	1	3	1	1496	0	-1	-1
2	1	3	2	1009	0	-1	-1
2	1	3	4	355	1	-1	-1
2	1	3	5	355	1	-1	-1
2	1	3	6	1029	0	-1	-1
2	1	3	7	1721	1	-1	-1
2	1	4	0	445	0	-1	-1
2	1	4	1	345	0	-1	-1
2	1	4	2	340	0	-1	-1
2	1	4	3	340	0	-1	-1
2	1	4	5	3000	-1	-1	-1
2	1	4	6	340	0	-1	-1
2	1	4	7	340	0	-1	-1
2	1	5	0	545	0	-1	-1
2	1	5	1	345	0	-1	-1
2	1	5	2	340	0	-1	-1
2	1	5	3	340	0	-1	-1
2	1	5	4	3000	-1	-1	-1
2	1	5	6	340	0	-1	-1
2	1	5	7	340	0	-1	-1
2	1	6	0	645	0	-1	-1
2	1	6	1	1874	1	-1	-1
2	1	6	2	1040	0	-1	-1
2	1	6	3	1238	1	-1	-1
2	1	6	4	365	1	-1	-1
2	1	6	5	365	1	-1	-1
2	1	6	7	870	0	-1	-1
2	1	7	0	3000	-1	-1	-1
2	1	7	1	3000	-1	-1	-1
2	1	7	2	2265	0	-1	-1
2	1	7	3	979	1	-1	-1
2	1	7	4	365	1	-1	-1
2	1	7	5	365	1	-1	-1
2	1	7	6	1035	1	-1	-1
3	0	0	1	620	1	-1	-1
3	0	0	2	721	1	-1	-1
3	0	0	3	3000	-1	-1	-1
3	0	0	4	270	1	-1	-1
3	0	0	5	290	1	-1	-1
3	0	0	6	330	1	-1	-1
3	0	0	7	365	1	-1	-1
3	0	1	0	1920	1	-1	-1
3	0	1	2	712	1	-1	-1
3	0	1	3	3000	-1	-1	-1
3	0	1	4	245	1	-1	-1
3	0	1	5	245	1	-1	-1
3	0	1	6	245	1	-1	-1
3	0	1	7	265	1	-1	-1
3	0	2	0	991	0	-1	-1
3	0	2	1	916	0	-1	-1
3	0	2	3	766	1	-1	-1
3	0	2	4	250	1	-1	-1
3	0	2	5	250	1	-1	-1
3	0	2	6	250	1	-1	-1
3	0	2	7	235	1	-1	-1
3	0	3	0	3000	-1	-1	-1
3	0	3	1	823	0	-1	-1
3	0	3	2	668	0	-1	-1
3	0	3	4	255	1	-1	-1
3	0	3	5	255	1	-1	-1
3	0	3	6	255	1	-1	-1
3	0	3	7	235	1	-1	-1
3	0	4	0	425	0	-1	-1
3	0	4	1	305	0	-1	-1
3	0	4	2	260	0	-1	-1
3	0	4	3	255	0	-1	-1
3	0	4	5	1510	1	-1	-1
3	0	4	6	1420	1	-1	-1
3	0	4	7	1395	1	-1	-1
3	0	5	0	305	0	-1	-1
3	0	5	1	305	0	-1	-1
3	0	5	2	260	0	-1	-1
3	0	5	3	255	0	-1	-1
3	0	5	4	1385	0	-1	-1
3	0	5	6	3000	-1	-1	-1
3	0	5	7	3000	-1	-1	-1
3	0	6	0	345	0	-1	-1
3	0	6	1	305	0	-1	-1
3	0	6	2	260	0	-1	-1
3	0	6	3	255	0	-1	-1
3	0	6	4	1385	0	-1	-1
3	0	6	5	3000	-1	-1	-1
3	0	6	7	3000	-1	-1	-1
3	0	7	0	445	0	-1	-1
3	0	7	1	305	0	-1	-1
3	0	7	2	260	0	-1	-1
3	0	7	3	255	0	-1	-1
3	0	7	4	1385	0	-1	-1
3	0	7	5	3000	-1	-1	-1
3	0	7	6	3000	-1	-1	-1
3	1	0	1	927	1	-1	-1
3	1	0	2	788	1	-1	-1
3	1	0	3	834	1	-1	-1
3	1	0	4	475	1	-1	-1
3	1	0	5	415	1	-1	-1
3	1	0	6	695	1	-1	-1
3	1	0	7	3000	-1	-1	-1
3	1	1	0	935	0	-1	-1
3	1	1	2	2352	1	-1	-1
3	1	1	3	1225	1	-1	-1
3	1	1	4	420	1	-1	-1
3	1	1	5	420	1	-1	-1
3	1	1	6	921	0	-1	-1
3	1	1	7	3000	-1	-1	-1
3	1	2	0	1073	0	-1	-1
3	1	2	1	1912	0	-1	-1
3	1	2	3	851	1	-1	-1
3	1	2	4	355	1	-1	-1
3	1	2	5	355	1	-1	-1
3	1	2	6	685	1	-1	-1
3	1	2	7	1640	1	-1	-1
3	1	3	0	1064	0	-1	-1
3	1	3	1	1191	0	-1	-1
3	1	3	2	1009	0	-1	-1
3	1	3	4	355	1	-1	-1
3	1	3	5	355	1	-1	-1
3	1	3	6	1029	0	-1	-1
3	1	3	7	1721	1	-1	-1
3	1	4	0	615	0	-1	-1
3	1	4	1	345	0	-1	-1
3	1	4	2	340	0	-1	-1
3	1	4	3	340	0	-1	-1
3	1	4	5	3000	-1	-1	-1
3	1	4	6	340	0	-1	-1
3	1	4	7	340	0	-1	-1
3	1	5	0	505	0	-1	-1
3	1	5	1	345	0	-1	-1
3	1	5	2	340	0	-1	-1
3	1	5	3	340	0	-1	-1
3	1	5	4	3000	-1	-1	-1
3	1	5	6	340	0	-1	-1
3	1	5	7	340	0	-1	-1
3	1	6	0	875	0	-1	-1
3	1	6	1	1350	1	-1	-1
3	1	6	2	1040	0	-1	-1
3	1	6	3	1238	1	-1	-1
3	1	6	4	365	1	-1	-1
3	1	6	5	365	1	-1	-1
3	1	6	7	870	0	-1	-1
3	1	7	0	3000	-1	-1	-1
3	1	7	1	3000	-1	-1	-1
3	1	7	2	2265	0	-1	-1
3	1	7	3	979	1	-1	-1
3	1	7	4	365	1	-1	-1
3	1	7	5	365	1	-1	-1
3	1	7	6	1035	1	-1	-1
4	0	0	1	575	1	-1	-1
4	0	0	2	718	1	-1	-1
4	0	0	3	745	1	-1	-1
4	0	0	4	295	1	-1	-1
4	0	0	5	435	1	-1	-1
4	0	0	6	315	1	-1	-1
4	0	0	7	400	1	-1	-1
4	0	1	0	2515	1	-1	-1
4	0	1	2	712	1	-1	-1
4	0	1	3	3000	-1	-1	-1
4	0	1	4	245	1	-1	-1
4	0	1	5	245	1	-1	-1
4	0	1	6	245	1	-1	-1
4	0	1	7	265	1	-1	-1
4	0	2	0	866	0	-1	-1
4	0	2	1	916	0	-1	-1
4	0	2	3	766	1	-1	-1
4	0	2	4	250	1	-1	-1
4	0	2	5	250	1	-1	-1
4	0	2	6	250	1	-1	-1
4	0	2	7	235	1	-1	-1
4	0	3	0	712	0	-1	-1
4	0	3	1	823	0	-1	-1
4	0	3	2	668	0	-1	-1
4	0	3	4	255	1	-1	-1
4	0	3	5	255	1	-1	-1
4	0	3	6	255	1	-1	-1
4	0	3	7	235	1	-1	-1
4	0	4	0	295	0	-1	-1
4	0	4	1	305	0	-1	-1
4	0	4	2	260	0	-1	-1
4	0	4	3	255	0	-1	-1
4	0	4	5	1510	1	-1	-1
4	0	4	6	1420	1	-1	-1
4	0	4	7	1395	1	-1	-1
4	0	5	0	365	0	-1	-1
4	0	5	1	305	0	-1	-1
4	0	5	2	260	0	-1	-1
4	0	5	3	255	0	-1	-1
4	0	5	4	1385	0	-1	-1
4	0	5	6	3000	-1	-1	-1
4	0	5	7	3000	-1	-1	-1
4	0	6	0	245	0	-1	-1
4	0	6	1	305	0	-1	-1
4	0	6	2	260	0	-1	-1
4	0	6	3	255	0	-1	-1
4	0	6	4	1385	0	-1	-1
4	0	6	5	3000	-1	-1	-1
4	0	6	7	3000	-1	-1	-1
4	0	7	0	325	0	-1	-1
4	0	7	1	305	0	-1	-1
4	0	7	2	260	0	-1	-1
4	0	7	3	255	0	-1	-1
4	0	7	4	1385	0	-1	-1
4	0	7	5	3000	-1	-1	-1
4	0	7	6	3000	-1	-1	-1
4	1	0	1	1013	1	-1	-1
4	1	0	2	1065	1	-1	-1
4	1	0	3	755	1	-1	-1
4	1	0	4	550	1	-1	-1
4	1	0	5	465	1	-1	-1
4	1	0	6	665	1	-1	-1
4	1	0	7	3000	-1	-1	-1
4	1	1	0	913	0	-1	-1
4	1	1	2	3000	-1	-1	-1
4	1	1	3	1289	1	-1	-1
4	1	1	4	420	1	-1	-1
4	1	1	5	420	1	-1	-1
4	1	1	6	921	0	-1	-1
4	1	1	7	3000	-1	-1	-1
4	1	2	0	1227	0	-1	-1
4	1	2	1	1621	1	-1	-1
4	1	2	3	851	1	-1	-1
4	1	2	4	355	1	-1	-1
4	1	2	5	355	1	-1	-1
4	1	2	6	685	1	-1	-1
4	1	2	7	1640	1	-1	-1
4	1	3	0	671	0	-1	-1
4	1	3	1	1575	0	-1	-1
4	1	3	2	1009	0	-1	-1
4	1	3	4	355	1	-1	-1
4	1	3	5	355	1	-1	-1
4	1	3	6	1029	0	-1	-1
4	1	3	7	1721	1	-1	-1
4	1	4	0	525	0	-1	-1
4	1	4	1	345	0	-1	-1
4	1	4	2	340	0	-1	-1
4	1	4	3	340	0	-1	-1
4	1	4	5	3000	-1	-1	-1
4	1	4	6	340	0	-1	-1
4	1	4	7	340	0	-1	-1
4	1	5	0	565	0	-1	-1
4	1	5	1	345	0	-1	-1
4	1	5	2	340	0	-1	-1
4	1	5	3	340	0	-1	-1
4	1	5	4	3000	-1	-1	-1
4	1	5	6	340	0	-1	-1
4	1	5	7	340	0	-1	-1
4	1	6	0	835	0	-1	-1
4	1	6	1	1235	1	-1	-1
4	1	6	2	1040	0	-1	-1
4	1	6	3	1238	1	-1	-1
4	1	6	4	365	1	-1	-1
4	1	6	5	365	1	-1	-1
4	1	6	7	870	0	-1	-1
4	1	7	0	3000	-1	-1	-1
4	1	7	1	1215	1	-1	-1
4	1	7	2	2265	0	-1	-1
4	1	7	3	979	1	-1	-1
4	1	7	4	365	1	-1	-1
4	1	7	5	365	1	-1	-1
4	1	7	6	1035	1	-1	-1
5	0	0	1	650	1	-1	-1
5	0	0	2	885	1	-1	-1
5	0	0	3	649	1	-1	-1
5	0	0	4	325	1	-1	-1
5	0	0	5	285	1	-1	-1
5	0	0	6	290	1	-1	-1
5	0	0	7	235	1	-1	-1
5	0	1	0	3000	-1	-1	-1
5	0	1	2	712	1	-1	-1
5	0	1	3	3000	-1	-1	-1
5	0	1	4	245	1	-1	-1
5	0	1	5	245	1	-1	-1
5	0	1	6	245	1	-1	-1
5	0	1	7	265	1	-1	-1
5	0	2	0	860	0	-1	-1
5	0	2	1	916	0	-1	-1
5	0	2	3	766	1	-1	-1
5	0	2	4	250	1	-1	-1
5	0	2	5	250	1	-1	-1
5	0	2	6	250	1	-1	-1
5	0	2	7	235	1	-1	-1
5	0	3	0	623	0	-1	-1
5	0	3	1	823	0	-1	-1
5	0	3	2	668	0	-1	-1
5	0	3	4	255	1	-1	-1
5	0	3	5	255	1	-1	-1
5	0	3	6	255	1	-1	-1
5	0	3	7	235	1	-1	-1
5	0	4	0	370	0	-1	-1
5	0	4	1	305	0	-1	-1
5	0	4	2	260	0	-1	-1
5	0	4	3	255	0	-1	-1
5	0	4	5	1510	1	-1	-1
5	0	4	6	1420	1	-1	-1
5	0	4	7	1395	1	-1	-1
5	0	5	0	250	0	-1	-1
5	0	5	1	305	0	-1	-1
5	0	5	2	260	0	-1	-1
5	0	5	3	255	0	-1	-1
5	0	5	4	1385	0	-1	-1
5	0	5	6	3000	-1	-1	-1
5	0	5	7	3000	-1	-1	-1
5	0	6	0	355	0	-1	-1
5	0	6	1	305	0	-1	-1
5	0	6	2	260	0	-1	-1
5	0	6	3	255	0	-1	-1
5	0	6	4	1385	0	-1	-1
5	0	6	5	3000	-1	-1	-1
5	0	6	7	3000	-1	-1	-1
5	0	7	0	515	0	-1	-1
5	0	7	1	305	0	-1	-1
5	0	7	2	260	0	-1	-1
5	0	7	3	255	0	-1	-1
5	0	7	4	1385	0	-1	-1
5	0	7	5	3000	-1	-1	-1
5	0	7	6	3000	-1	-1	-1
5	1	0	1	845	1	-1	-1
5	1	0	2	1187	1	-1	-1
5	1	0	3	972	1	-1	-1
5	1	0	4	495	1	-1	-1
5	1	0	5	545	1	-1	-1
5	1	0	6	735	1	-1	-1
5	1	0	7	3000	-1	-1	-1
5	1	1	0	999	0	-1	-1
5	1	1	2	1422	1	-1	-1
5	1	1	3	1289	1	-1	-1
5	1	1	4	420	1	-1	-1
5	1	1	5	420	1	-1	-1
5	1	1	6	1225	1	-1	-1
5	1	1	7	2025	1	-1	-1
5	1	2	0	1088	0	-1	-1
5	1	2	1	1912	0	-1	-1
5	1	2	3	851	1	-1	-1
5	1	2	4	355	1	-1	-1
5	1	2	5	355	1	-1	-1
5	1	2	6	685	1	-1	-1
5	1	2	7	1640	1	-1	-1
5	1	3	0	854	0	-1	-1
5	1	3	1	1260	0	-1	-1
5	1	3	2	1009	0	-1	-1
5	1	3	4	355	1	-1	-1
5	1	3	5	355	1	-1	-1
5	1	3	6	1029	0	-1	-1
5	1	3	7	1721	1	-1	-1
5	1	4	0	505	0	-1	-1
5	1	4	1	345	0	-1	-1
5	1	4	2	340	0	-1	-1
5	1	4	3	340	0	-1	-1
5	1	4	5	3000	-1	-1	-1
5	1	4	6	340	0	-1	-1
5	1	4	7	340	0	-1	-1
5	1	5	0	420	0	-1	-1
5	1	5	1	345	0	-1	-1
5	1	5	2	340	0	-1	-1
5	1	5	3	340	0	-1	-1
5	1	5	4	3000	-1	-1	-1
5	1	5	6	340	0	-1	-1
5	1	5	7	340	0	-1	-1
5	1	6	0	795	0	-1	-1
5	1	6	1	1514	1	-1	-1
5	1	6	2	1040	0	-1	-1
5	1	6	3	1238	1	-1	-1
5	1	6	4	365	1	-1	-1
5	1	6	5	365	1	-1	-1
5	1	6	7	870	0	-1	-1
5	1	7	0	2235	0	-1	-1
5	1	7	1	3000	-1	-1	-1
5	1	7	2	2265	0	-1	-1
5	1	7	3	979	1	-1	-1
5	1	7	4	365	1	-1	-1
5	1	7	5	365	1	-1	-1
5	1	7	6	1035	1	-1	-1
6	0	0	1	660	1	-1	-1
6	0	0	2	716	1	-1	-1
6	0	0	3	660	1	-1	-1
6	0	0	4	345	1	-1	-1
6	0	0	5	295	1	-1	-1
6	0	0	6	335	1	-1	-1
6	0	0	7	245	1	-1	-1
6	0	1	0	3000	-1	-1	-1
6	0	1	2	712	1	-1	-1
6	0	1	3	3000	-1	-1	-1
6	0	1	4	245	1	-1	-1
6	0	1	5	245	1	-1	-1
6	0	1	6	245	1	-1	-1
6	0	1	7	265	1	-1	-1
6	0	2	0	894	0	-1	-1
6	0	2	1	916	0	-1	-1
6	0	2	3	766	1	-1	-1
6	0	2	4	250	1	-1	-1
6	0	2	5	250	1	-1	-1
6	0	2	6	250	1	-1	-1
6	0	2	7	235	1	-1	-1
6	0	3	0	628	0	-1	-1
6	0	3	1	823	0	-1	-1
6	0	3	2	668	0	-1	-1
6	0	3	4	255	1	-1	-1
6	0	3	5	255	1	-1	-1
6	0	3	6	255	1	-1	-1
6	0	3	7	235	1	-1	-1
6	0	4	0	235	0	-1	-1
6	0	4	1	305	0	-1	-1
6	0	4	2	260	0	-1	-1
6	0	4	3	255	0	-1	-1
6	0	4	5	1510	1	-1	-1
6	0	4	6	1420	1	-1	-1
6	0	4	7	1395	1	-1	-1
6	0	5	0	255	0	-1	-1
6	0	5	1	305	0	-1	-1
6	0	5	2	260	0	-1	-1
6	0	5	3	255	0	-1	-1
6	0	5	4	1385	0	-1	-1
6	0	5	6	3000	-1	-1	-1
6	0	5	7	3000	-1	-1	-1
6	0	6	0	255	0	-1	-1
6	0	6	1	305	0	-1	-1
6	0	6	2	260	0	-1	-1
6	0	6	3	255	0	-1	-1
6	0	6	4	1385	0	-1	-1
